Wall time,Step,Value
1592878781.013983,0,6.389785289764404
1592878882.694593,1,3.939528703689575
1592878981.981177,2,2.013535499572754
1592879082.139437,3,1.1763200759887695
1592879182.169767,4,0.9578377604484558
1592879282.385326,5,0.8189855813980103
1592879382.475508,6,0.7347933650016785
1592879482.35382,7,0.6783880591392517
1592879582.828351,8,0.6380887627601624
1592879682.767575,9,0.6066322922706604
1592879782.83274,10,0.5816934108734131
1592879882.102744,11,0.5612492561340332
1592879982.026682,12,0.5446698069572449
1592880081.963724,13,0.530538022518158
1592880182.319782,14,0.5168938040733337
1592880282.954272,15,0.5056477189064026
1592880383.556788,16,0.4950975775718689
1592880483.226078,17,0.48730623722076416
1592880583.141595,18,0.47867050766944885
1592880683.122103,19,0.4706612825393677
1592880783.778305,20,0.4646718204021454
1592880883.8794,21,0.45844000577926636
1592880983.918336,22,0.45276957750320435
1592881084.449602,23,0.4474046528339386
1592881184.532,24,0.4419446289539337
1592881284.764386,25,0.43807506561279297
1592881384.350665,26,0.4330233335494995
1592881483.906881,27,0.42951223254203796
1592881583.650168,28,0.4256892502307892
1592881683.594471,29,0.421964555978775
1592881783.759701,30,0.4186156094074249
1592881883.632583,31,0.4152058959007263
1592881983.91179,32,0.4124676287174225
1592882083.042877,33,0.4095429480075836
1592882183.490613,34,0.4076192080974579
1592882283.087343,35,0.4031735062599182
1592882382.537927,36,0.40183165669441223
1592882482.171983,37,0.39965328574180603
1592882582.506389,38,0.3962922692298889
1592882682.892402,39,0.39414143562316895
1592882783.644373,40,0.3923526108264923
1592882883.700967,41,0.3904315233230591
1592882983.663808,42,0.3881836235523224
1592883084.346321,43,0.38711607456207275
1592883183.963283,44,0.3837215006351471
1592883284.70456,45,0.3833230435848236
1592883385.859413,46,0.3810865879058838
1592883487.829904,47,0.3795446753501892
1592883589.185256,48,0.378106027841568
1592883690.091083,49,0.37698042392730713
1592883791.118068,50,0.3752170503139496
1592883891.668174,51,0.37373945116996765
1592883992.777361,52,0.3729018568992615
1592884093.622478,53,0.3711584508419037
1592884193.867441,54,0.3701114356517792
1592884294.036352,55,0.368009477853775
1592884393.888802,56,0.36703938245773315
1592884494.006628,57,0.36518076062202454
1592884594.597415,58,0.3644646406173706
1592884694.976245,59,0.3633682131767273
1592884794.729404,60,0.3629007637500763
1592884894.62123,61,0.36121872067451477
1592884995.449395,62,0.35976672172546387
1592885095.751396,63,0.3585650622844696
1592885195.474599,64,0.3575207591056824
1592885296.058855,65,0.3568328022956848
1592885395.822888,66,0.3564078211784363
1592885495.060425,67,0.35522863268852234
1592885595.264586,68,0.35417434573173523
1592885695.320273,69,0.3526516854763031
1592885795.39263,70,0.35262331366539
1592885896.003087,71,0.35224080085754395
1592885996.88594,72,0.35094568133354187
1592886097.245071,73,0.35036006569862366
1592886197.604998,74,0.34909334778785706
1592886297.864583,75,0.34895074367523193
1592886397.579971,76,0.34781134128570557
1592886498.249445,77,0.34665465354919434
1592886598.373878,78,0.34629562497138977
1592886699.237695,79,0.34550124406814575
1592886799.4897,80,0.3441932201385498
1592886899.930519,81,0.34370821714401245
1592887000.510996,82,0.3437805771827698
1592887100.556143,83,0.34290429949760437
1592887200.854088,84,0.34208187460899353
1592887301.298855,85,0.34079742431640625
1592887401.554853,86,0.3401644825935364
1592887501.732926,87,0.34035441279411316
1592887601.835806,88,0.3394513428211212
1592887702.058553,89,0.33884793519973755
1592887802.589042,90,0.33866602182388306
1592887902.833792,91,0.33771052956581116
1592888003.143509,92,0.33689945936203003
1592888103.49183,93,0.3354954123497009
1592888203.423442,94,0.3362150192260742
1592888303.311031,95,0.3347431719303131
1592888403.284993,96,0.33471226692199707
1592888503.432143,97,0.3342449963092804
1592888603.252973,98,0.3335145115852356
1592888703.833384,99,0.33347606658935547
