Wall time,Step,Value
1592886787.363629,0,0.24019058048725128
1592888085.617503,1,0.2768215537071228
1592889375.19458,2,0.27886754274368286
1592890652.508217,3,0.2794235050678253
1592891948.374129,4,0.280231773853302
